trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",20,0,-106.23437620044834,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9025}",20,0,-133.79522176759022,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.8573749999999999}",25,0,-86.715161625827,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
4,False,"{'a': 0.3, 'e': 0.8145062499999999}",20,0,-91.63839621134467,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.7737809374999999}",30,0,-102.48754110633273,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.3, 'e': 0.7350918906249998}",20,0,-57.13742150434861,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.6983372960937497}",20,0,-20.897147217476377,"{0: 15, 1: 4, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.3, 'e': 0.6634204312890623}",20,0,-92.80661750870198,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.3, 'e': 0.6302494097246091}",30,0,-59.70739676486222,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.3, 'e': 0.5987369392383786}",30,0,-29.779657355749443,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.3, 'e': 0.5688000922764596}",20,3,-23.233675199308085,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 0}",1
12,False,"{'a': 0.3, 'e': 0.5403600876626365}",20,0,-109.16190039178007,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.3, 'e': 0.5133420832795047}",20,0,-48.10187856928158,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.3, 'e': 0.48767497911552943}",20,0,-142.94358804292497,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
15,False,"{'a': 0.3, 'e': 0.46329123015975293}",20,0,-81.60725498067123,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.3, 'e': 0.44012666865176525}",25,7,-30.46590004974549,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
17,False,"{'a': 0.3, 'e': 0.41812033521917696}",25,0,-3.3229411605382846,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.3972143184582181}",20,0,-17.533390584903806,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.37735360253530714}",20,14,-8.030502009032569,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
