trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",30,0,-128.7669693769263,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9025}",30,5,-182.59433585539037,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",1
3,False,"{'a': 0.3, 'e': 0.8573749999999999}",25,0,-174.01100232584696,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.3, 'e': 0.8145062499999999}",30,0,-190.07250760928997,"{0: 17, 1: 2, 2: 8, 3: 0, 4: 3}",0
5,False,"{'a': 0.3, 'e': 0.7737809374999999}",20,0,-47.17839887743476,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
6,False,"{'a': 0.3, 'e': 0.7350918906249998}",20,12,-4.096806731269352,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.3, 'e': 0.6983372960937497}",30,14,-18.02909470894236,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.6634204312890623}",25,0,-133.0870866859279,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
9,False,"{'a': 0.3, 'e': 0.6302494097246091}",20,6,-42.98533898869408,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
10,False,"{'a': 0.3, 'e': 0.5987369392383786}",25,8,-23.276805634248213,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.3, 'e': 0.5688000922764596}",20,0,-3.665044682505047,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.5403600876626365}",20,0,-35.57033095668947,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.3, 'e': 0.5133420832795047}",25,0,-11.962347119527745,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.3, 'e': 0.48767497911552943}",20,0,-124.63484056362479,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.3, 'e': 0.46329123015975293}",25,0,-85.73505951885579,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.3, 'e': 0.44012666865176525}",20,2,-42.57079997759445,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.3, 'e': 0.41812033521917696}",20,0,-16.733448764750847,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.3, 'e': 0.3972143184582181}",20,0,-88.35142456601946,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.3, 'e': 0.37735360253530714}",20,6,3.0682090302783167,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': 0.35848592240854177}",20,12,-54.1927521359586,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.3, 'e': 0.34056162628811465}",25,15,17.65266421516462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.3, 'e': 0.3235335449737089}",25,5,34.47996895054321,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.3, 'e': 0.30735686772502346}",20,3,-119.62514394696463,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 3}",1
24,False,"{'a': 0.3, 'e': 0.2919890243387723}",20,0,-1.5289733712631115,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.3, 'e': 0.27738957312183365}",20,0,-101.07810464173673,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
26,False,"{'a': 0.3, 'e': 0.263520094465742}",20,8,-24.253905823905725,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
27,False,"{'a': 0.3, 'e': 0.25034408974245487}",25,0,-17.412025492118413,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.3, 'e': 0.2378268852553321}",35,12,24.356066265412586,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.2259355409925655}",20,0,-21.021236205540898,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.3, 'e': 0.2146387639429372}",20,0,14.42451461773549,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.3, 'e': 0.20390682574579033}",25,12,19.406688330802634,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 0.1937114844585008}",35,20,11.05028183186084,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.18402591023557577}",20,12,16.54073785955647,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.3, 'e': 0.17482461472379698}",35,17,20.00480422776748,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.16608338398760714}",30,14,3.400291929159568,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.15777921478822676}",35,20,25.51328548810006,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.14989025404881542}",20,12,12.520053546618186,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.3, 'e': 0.14239574134637464}",20,4,15.599005991033746,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.1352759542790559}",30,10,1.5729599714711493,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.1285121565651031}",20,9,21.615335585677972,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.12208654873684793}",20,0,20.435115987108283,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.11598222130000553}",25,11,-20.15768949706632,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.3, 'e': 0.11018311023500525}",25,18,0.9904676588355397,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.10467395472325498}",20,2,-43.92257794552877,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 1}",1
45,False,"{'a': 0.3, 'e': 0.09944025698709223}",25,0,-82.74317991130978,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
46,False,"{'a': 0.3, 'e': 0.09446824413773762}",20,11,-23.391376950365515,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.3, 'e': 0.08974483193085074}",35,18,28.82958584765079,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.0852575903343082}",20,11,18.11955025610904,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.3, 'e': 0.08099471081759278}",20,16,4.538366818038067,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.07694497527671314}",30,11,31.069049011104095,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.3, 'e': 0.07309772651287748}",25,5,29.742581865321355,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
