trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.54833321052772,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-259.492098877663,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 6}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.0822156176333,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.03007575261836,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.32054663699682,"{0: 13, 1: 3, 2: 12, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-138.33784249025928,"{0: 22, 1: 2, 2: 9, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.4039774835473,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-184.7859035630734,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.8205268152245,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.38774619379994,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-228.31890950719816,"{0: 9, 1: 4, 2: 2, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.62627800381763,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.15105739416731,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-170.8355999467722,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-62.44119820496066,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",35,0,-140.85719655189152,"{0: 20, 1: 6, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.2176293438577,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.23882092577546,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-33.734391377354,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-57.134597383976114,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-86.36330787962638,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-109.70052903147293,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-250.03947617790158,"{0: 20, 1: 4, 2: 5, 3: 2, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-119.54211340615265,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-52.02354544993523,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-166.33830973478334,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-54.05772813224544,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-174.54989815498462,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-108.52625942206083,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.49157003570036,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
